subsystem,path_from_root
PLA,/Code/Framework/AzFramework/Platform/Mac/AzFramework/AzFramework_Traits_Platform.h
PLA,/Code/Framework/AzFramework/Platform/Mac/AzFramework/Input
PLA,/Code/Framework/AzFramework/Platform/Mac/AzFramework/Process
PLA,/Code/Framework/AzFramework/Platform/Mac/AzFramework/TargetManagement
PLA,/Code/Framework/AzFramework/Platform/Mac/AzFramework/Utils
PLA,/Code/Framework/AzFramework/Platform/Mac/AzFramework/Windowing
PLA,/Code/Framework/AzFramework/Platform/Windows/AzFramework/API
PLA,/Code/Framework/AzFramework/Platform/Windows/AzFramework/Application
PLA,/Code/Framework/AzFramework/Platform/Windows/AzFramework/Asset
PLA,/Code/Framework/AzFramework/Platform/Windows/AzFramework/AzFramework_Traits_Platform.h
PLA,/Code/Framework/AzFramework/Platform/Windows/AzFramework/AzFramework_Traits_Windows.h
PLA,/Code/Framework/AzFramework/Platform/Windows/AzFramework/Input
PLA,/Code/Framework/AzFramework/Platform/Windows/AzFramework/IO
PLA,/Code/Framework/AzFramework/Platform/Windows/AzFramework/Process
PLA,/Code/Framework/AzFramework/Platform/Windows/AzFramework/TargetManagement
PLA,/Code/Framework/AzFramework/Platform/Windows/AzFramework/Windowing
COR,/Code/Framework/AzGameFramework/AzGameFramework/Application
COR,/Code/Framework/AzGameFramework/AzGameFramework/AzGameFrameworkModule.cpp
COR,/Code/Framework/AzGameFramework/AzGameFramework/AzGameFrameworkModule.h
OMP,/Code/Framework/AzNetworking
COR,/Code/Framework/AzQtComponents/AzQtComponents/Application
COR,/Code/Framework/AzQtComponents/AzQtComponents/AzQtComponentsAPI.h
FES,/Code/Framework/AzQtComponents/AzQtComponents/Buses
FES,/Code/Framework/AzQtComponents/AzQtComponents/Components
DEB,/Code/Framework/AzQtComponents/AzQtComponents/DPEDebugViewStandalone
FES,/Code/Framework/AzQtComponents/AzQtComponents/DragAndDrop
FES,/Code/Framework/AzQtComponents/AzQtComponents/Gallery
FES,/Code/Framework/AzQtComponents/AzQtComponents/PropertyEditorStandalone
FES,/Code/Framework/AzQtComponents/AzQtComponents/Utilities
EDI,/Code/Framework/AzToolsFramework/AzToolsFramework/ActionManager
EDI,/Code/Framework/AzToolsFramework/AzToolsFramework/API
EDI,/Code/Framework/AzToolsFramework/AzToolsFramework/Application
COR,/Code/Framework/AzToolsFramework/AzToolsFramework/Archive
RES,/Code/Framework/AzToolsFramework/AzToolsFramework/Asset
FES,/Code/Framework/AzToolsFramework/AzToolsFramework/AssetBrowser
RES,/Code/Framework/AzToolsFramework/AzToolsFramework/AssetBundle
RES,/Code/Framework/AzToolsFramework/AzToolsFramework/AssetCatalog
RES,/Code/Framework/AzToolsFramework/AzToolsFramework/AssetDatabase
EDI,/Code/Framework/AzToolsFramework/AzToolsFramework/AssetEditor
COR,/Code/Framework/AzToolsFramework/AzToolsFramework/AzToolsFrameworkModule.cpp
COR,/Code/Framework/AzToolsFramework/AzToolsFramework/AzToolsFrameworkModule.h
FES,/Code/Framework/AzToolsFramework/AzToolsFramework/Commands
EDI,/Code/Framework/AzToolsFramework/AzToolsFramework/Component
EDI,/Code/Framework/AzToolsFramework/AzToolsFramework/ComponentMode
EDI,/Code/Framework/AzToolsFramework/AzToolsFramework/ComponentModes
GMP,/Code/Framework/AzToolsFramework/AzToolsFramework/ContainerEntity
DEB,/Code/Framework/AzToolsFramework/AzToolsFramework/Debug
EDI,/Code/Framework/AzToolsFramework/AzToolsFramework/Editor
GMP,/Code/Framework/AzToolsFramework/AzToolsFramework/Entity
COR,/Code/Framework/AzToolsFramework/AzToolsFramework/Fingerprinting
EDI,/Code/Framework/AzToolsFramework/AzToolsFramework/FocusMode
HID,/Code/Framework/AzToolsFramework/AzToolsFramework/Input
