edge,includes,includedby,sum
/media/ullmann/hdd/research/engines/godot/editor/editor_export.h,5,17,22
/media/ullmann/hdd/research/engines/godot/thirdparty/oidn/common/platform.cpp,1,0,1
/media/ullmann/hdd/research/engines/godot/thirdparty/oidn/common/platform.h,0,7,7
/media/ullmann/hdd/research/engines/godot/modules/gdnative/videodecoder/video_stream_gdnative.h,4,2,6
/media/ullmann/hdd/research/engines/godot/modules/gdnative/gdnative.h,5,16,21
/media/ullmann/hdd/research/engines/godot/scene/3d/navigation_mesh.cpp,3,0,3
/media/ullmann/hdd/research/engines/godot/scene/3d/mesh_instance.h,5,33,38
/media/ullmann/hdd/research/engines/godot/scene/main/scene_tree.cpp,21,0,21
/media/ullmann/hdd/research/engines/godot/core/message_queue.h,2,22,24
/media/ullmann/hdd/research/engines/godot/thirdparty/freetype/src/truetype/ttgxvar.c,3,1,4
/media/ullmann/hdd/research/engines/godot/thirdparty/freetype/src/truetype/ttpload.h,0,5,5
/media/ullmann/hdd/research/engines/godot/editor/editor_file_dialog.cpp,13,0,13
/media/ullmann/hdd/research/engines/godot/editor/editor_settings.h,6,74,80
/media/ullmann/hdd/research/engines/godot/modules/gltf/gltf_state.h,18,5,23
/media/ullmann/hdd/research/engines/godot/scene/animation/animation_player.h,4,24,28
/media/ullmann/hdd/research/engines/godot/thirdparty/bullet/btBulletDynamicsCommon.h,16,0,16
/media/ullmann/hdd/research/engines/godot/thirdparty/bullet/BulletDynamics/ConstraintSolver/btGeneric6DofSpringConstraint.h,2,2,4
/media/ullmann/hdd/research/engines/godot/scene/2d/joints_2d.cpp,5,0,5
/media/ullmann/hdd/research/engines/godot/modules/stb_vorbis/resource_importer_ogg_vorbis.cpp,4,0,4
/media/ullmann/hdd/research/engines/godot/core/io/image_loader.cpp,2,0,2
/media/ullmann/hdd/research/engines/godot/core/print_string.h,1,99,100
/media/ullmann/hdd/research/engines/godot/thirdparty/etc2comp/EtcBlock4x4.cpp,11,0,11
/media/ullmann/hdd/research/engines/godot/thirdparty/etc2comp/EtcColorFloatRGBA.h,2,7,9
/media/ullmann/hdd/research/engines/godot/core/os/input.h,3,58,61
/media/ullmann/hdd/research/engines/godot/drivers/gles3/shaders/cube_to_dp.glsl.gen.h,1,1,2
/media/ullmann/hdd/research/engines/godot/drivers/gles3/shader_gles3.h,4,20,24
/media/ullmann/hdd/research/engines/godot/servers/audio/effects/audio_effect_phaser.cpp,3,0,3
/media/ullmann/hdd/research/engines/godot/scene/resources/concave_polygon_shape.h,1,8,9
/media/ullmann/hdd/research/engines/godot/thirdparty/mbedtls/library/x509write_crt.c,1,0,1
/media/ullmann/hdd/research/engines/godot/thirdparty/mbedtls/library/common.h,0,86,86
/media/ullmann/hdd/research/engines/godot/scene/resources/line_shape_2d.cpp,3,0,3
/media/ullmann/hdd/research/engines/godot/servers/visual_server.h,7,70,77
/media/ullmann/hdd/research/engines/godot/thirdparty/oidn/mkl-dnn/src/common/verbose.cpp,15,0,15
/media/ullmann/hdd/research/engines/godot/thirdparty/oidn/mkl-dnn/src/common/rnn_pd.hpp,3,1,4
/media/ullmann/hdd/research/engines/godot/editor/editor_node.cpp,140,0,140
/media/ullmann/hdd/research/engines/godot/editor/plugins/script_text_editor.h,4,4,8
/media/ullmann/hdd/research/engines/godot/main/performance.cpp,9,0,9
